PERCENTAGE OF THERMALLY REFURFISHED ENVELOPE AREAS;;;;
Construction_Year;roof;wall;floor;window
<1918;0.8;0.8;0.8;0.8
1919-1976;0.8;0.8;0.8;0.8
1977-1983;0.95;0.95;0.95;0.95
1984-1994;0.95;0.95;0.95;0.95
>1995;1;1;1;1
