SOLAR RADIATION IN W/m2 (UNTERHACHING);;;
I_Gh;I_Dh;I_ex;hs
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0.01663208;0;0;0
33.15625;17.25850482;170;3.116489464
116.875;64.8373696;325;10.32355949
125.21875;73.70817547;431;15.84607283
103.46875;60.4311645;482;19.23916252
90.65625;53.57839331;472;20.16554243
103.84375;63.52665598;404;18.52277324
93.9375;62.47842361;282;14.48929531
40.890625;32.06520227;115;8.446463527
2.373046875;1.881676845;0;0.846893534
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0.043670654;0;0;0
28.8671875;15.27336455;173;3.198433025
53.671875;33.31441262;328;10.42459368
67.875;41.15220327;434;15.96843844
132.8125;76.2377742;485;19.38270229
166.1875;94.36736096;476;20.32704394
125.75;75.89742302;409;18.6966257
100.59375;66.5695916;287;14.66937412
54.1875;41.14397844;119;8.627901628
4.259765625;3.695212789;0;1.026771595
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0.119476318;0;0;0
60.15625;27.80352483;175;3.286969988
187.5625;89.90571398;331;10.5324079
292.75;155.1135454;438;16.09771637
354.25;180.1646521;489;19.53314667
364.875;185.8860034;480;20.49522804
323.625;174.1938806;413;18.8767121
235.75;141.9132389;291;14.85508199
113.75;73.23753473;124;8.814319673
10.1640625;8.732225485;0;1.21103389
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0.131591797;0;0;0
56.640625;26.6863077;177;3.382095065
141.75;74.65844149;334;10.64698507
134.3125;77.99545761;441;16.23387802
166.625;93.55796421;493;19.69045569
152.8125;86.97640406;485;20.67004306
121.625;73.29629457;418;19.06296903
79.09375;52.98064162;296;15.04634516
33.28125;26.70541014;129;9.005636747
2.86328125;3.026053613;0;1.399596151
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
