EAST;;;;;SOUTH;;;;;WEST;;;;;NORTH;;;;
SFH;TH;MFH;AB;Non-residential;SFH;TH;MFH;AB;Non-residential;SFH;TH;MFH;AB;Non-residential;SFH;TH;MFH;AB;Non-residential
0.214;0.000;0.260;0.453;0.340;0.413;0.574;0.320;0.047;0.160;0.226;0.000;0.260;0.453;0.340;0.147;0.426;0.160;0.047;0.160
;;;;;;;;;;;;;;;;;;;
