Non residential buildings;;;;
Construction year class;ROOF;WALL;FLOOR;WINDOW
<1918;0.34;0.34;0.34;1.8
1919-1976;0.34;0.34;0.34;1.8
1977-1983;0.26;0.26;0.26;1.4
1984-1994;0.22;0.22;0.22;1.2
>1995;0.22;0.22;0.22;1.2
