;ROOF;;;;WALL;;;;FLOOR;;;;WINDOW;;;;DOOR;;;;THERMAL BRIDGE;;;
Construction year;SFH;TH;MFH;AB;SFH;TH;MFH;AB;SFH;TH;MFH;AB;SFH;TH;MFH;AB;SFH;TH;MFH;AB;SFH;TH;MFH;AB
<1859;0.41;0;0.41;0;0.35;0;0.35;0;0.49;0;0.29;0;1.6;0;1.6;0;1.3;0;1.3;0;0.15;0;0.15;0
1860-1918;0.41;0.21;0.41;0.41;0.25;0.34;0.36;0.34;0.29;0.88;0.29;0.29;1.6;1.6;1.6;1.6;1.3;1.3;1.3;1.3;0.1;0.15;0.15;0.15
1919-1948;0.41;0.2;0.41;0.2;0.25;0.25;0.25;0.24;0.28;0.77;0.28;0.28;1.3;1.3;1.3;1.3;1.3;1.3;1.3;1.3;0.1;0.1;0.1;0.1
1949-1957;0.41;0.2;0.23;0.23;0.4;0.23;0.23;0.23;0.28;1.29;0.33;0.33;1.3;1.3;1.3;1.3;1.3;1.3;1.3;1.3;0.1;0.1;0.1;0.1
1958-1968;0.41;0.19;0.19;0.19;0.23;0.23;0.23;0.23;0.31;1.08;0.31;0.31;1.3;1.3;1.3;1.3;1.3;1.3;1.3;1.3;0.1;0.1;0.1;0.1
1969-1978;0.18;0.19;0.19;0.19;0.22;0.22;0.22;0.23;0.28;0.77;0.28;0.28;1.3;1.3;1.3;1.3;1.3;1.3;1.3;1.3;0.1;0.1;0.1;0.1
1979-1983;0.41;0.41;0.17;0;0.21;0.21;0.21;0;0.26;0.65;0.26;0;1.3;1.3;1.3;0;1.3;1.3;1.3;0;0.1;0.1;0.1;0
1984-1994;0.41;0.41;0.16;0;0.18;0.2;0.2;0;0.24;0.51;0.24;0;1.3;1.3;1.3;0;1.3;1.3;1.3;0;0.1;0.1;0.1;0
1995-2001;0.41;0.41;0.15;0;0.15;0.2;0.17;0;0.21;0.45;0.21;0;1.3;1.3;1.3;0;1.3;1.3;1.3;0;0.1;0.1;0.1;0
2002-2009;0.41;0.41;0.41;0;0.15;0.15;0.13;0;0.17;0.28;0.18;0;1.3;1.3;1.3;0;1.3;1.3;1.3;0;0.05;0.05;0.05;0
>2011;0.16;0.16;0.10;0;0.20;0.20;0.14;0;0.24;0.25;0.18;0;1.30;1.30;0.70;0;1.80;1.80;0.80;0.00;0.05;0.05;0.05;0
