bid;area;use;free_walls;lat;lon;dist2hp
294;140.8178035;1;2;48.0657557;11.62003672;1951.397296
295;98.03529969;3;4;48.06498716;11.61608653;1654.880187
296;102.8552359;3;3;48.0645776;11.61787108;1746.592917
297;428.3157799;3;4;48.0636748;11.61504282;1513.504251
298;129.7561187;0;2;48.06572853;11.62016986;1958.53317
299;117.986719;3;2;48.06685623;11.62707923;2472.742669
300;410.3735282;3;4;48.06696047;11.62512899;2348.543014
301;723.5028852;3;4;48.06281823;11.61528745;1485.973634
302;400.600898;3;3;48.06519945;11.61862635;1829.437985
303;57.16915482;1;4;48.06593735;11.6207784;2009.445949
304;425.2358468;3;4;48.06349279;11.6162955;1586.505028
305;140.3168354;3;3;48.06668071;11.61800641;1878.164986
306;111.4329001;3;4;48.06509795;11.6174587;1748.544482
307;215.1784588;1;4;48.06625224;11.62162732;2081.760597
308;141.7917982;3;4;48.06345447;11.61377752;1419.390225
309;241.4197102;3;4;48.06727876;11.61902268;1978.338906
310;84.46406597;3;4;48.06428708;11.61530254;1564.331625
311;274.9729547;3;4;48.0624917;11.61606173;1523.480296
312;667.1512627;3;4;48.06693993;11.62650355;2438.477977
313;85.17916177;3;4;48.0637223;11.61653855;1614.253488
314;150.8854213;3;4;48.06418691;11.61439684;1500.909206
315;291.4202417;3;3;48.06491525;11.61668522;1688.654679
316;241.1373836;3;4;48.06461305;11.617463;1721.871995
317;111.3389296;3;4;48.0670117;11.61920988;1972.960877
318;369.6126052;3;4;48.06373295;11.61440045;1475.094753
319;181.6121496;1;3;48.06579735;11.61990175;1944.977083
320;122.7183927;3;3;48.06684165;11.62722785;2481.979988
321;634.2756511;3;4;48.06693713;11.62572893;2386.935174
322;215.0566749;3;4;48.0643954;11.61649378;1647.065609
323;358.1429791;3;3;48.06546121;11.61876083;1852.666136
324;398.9123552;3;3;48.06535659;11.61755683;1769.662765
325;472.4489633;1;3;48.0661514;11.62016336;1981.691041
326;460.2822916;3;4;48.06358762;11.61566036;1549.31804
327;2104.942064;0;4;48.06372153;11.61759458;1684.528666
328;83.50189022;3;4;48.06493603;11.61739929;1735.580811
329;52.88714464;1;3;48.06623355;11.6210472;2043.168019
330;138.0723366;3;4;48.0632509;11.61392215;1417.590688
331;131.8798785;3;4;48.06424432;11.61555346;1577.990223
332;5168.837543;1;4;48.06679309;11.62295847;2197.727418
333;58.24378012;3;3;48.0667224;11.6257011;2374.190954
334;133.9722985;3;4;48.06551405;11.62533958;2291.869455
335;71.56806637;3;4;48.06662225;11.62692017;2450.702881
336;85.92705413;3;4;48.06659535;11.62518463;2333.475079
337;469.351232;3;4;48.06631593;11.6263059;2394.696948
338;124.451153;3;3;48.0655748;11.62495702;2268.707251
339;400.2860938;3;4;48.0631637;11.62454705;2141.494655
340;334.3659631;3;4;48.06590908;11.62655707;2392.650978
341;120.8975868;3;3;48.06581753;11.62486714;2274.051598
342;278.2357433;3;4;48.06324887;11.62372873;2086.839694
343;65.47816754;3;4;48.066329;11.62685224;2432.141902
344;55.87992588;3;4;48.0663272;11.6253161;2328.858003
345;510.6393686;3;4;48.06589278;11.62612108;2362.313967
346;363.0084163;3;3;48.06462408;11.62552389;2265.823445
347;74.35457507;3;4;48.06652247;11.62689425;2444.164765
348;177.2214487;3;3;48.06543989;11.62821841;2486.009817
349;67.10345966;3;2;48.0645223;11.62546148;2257.318997
350;183.9815741;3;4;48.0667404;11.62487427;2320.33441
351;106.60131;3;3;48.06665239;11.6257658;2374.984271
352;85.06938714;3;4;48.06638143;11.62482749;2298.970421
353;424.7903439;3;4;48.06658131;11.62639823;2413.713108
354;394.2045304;3;4;48.06315036;11.62411794;2110.707197
355;374.4111081;3;4;48.06564301;11.62645863;2373.91306
356;80.03729396;3;3;48.06558839;11.6248279;2260.59885
357;279.8377474;3;4;48.06547769;11.62769893;2451.758377
358;178.7601552;3;4;48.06629837;11.62564453;2349.430101
359;67.79700525;3;3;48.06572614;11.62479528;2264.868991
360;368.205487;3;3;48.06441886;11.6254821;2254.547274
361;263.6494221;3;4;48.06650859;11.62558014;2355.451367
362;168.0802448;3;4;48.06573365;11.62546595;2310.551317
363;71.52246278;3;4;48.06621257;11.62679578;2422.863024
364;71.48039495;3;4;48.06642533;11.62686894;2437.827074
365;491.7332712;3;3;48.06567051;11.62824716;2497.716032
366;298.9440522;3;2;48.06457342;11.62846791;2469.007747
367;330.0549827;3;4;48.06286781;11.62739787;2334.680944
368;759.3103653;3;4;48.06387922;11.62702771;2342.147209
369;246.1947549;3;4;48.06316139;11.62691804;2309.713424
370;536.4351431;3;4;48.06369489;11.62760976;2376.791907
371;309.7021478;3;4;48.06305975;11.62774941;2365.805069
372;227.1042737;3;4;48.06351509;11.62695808;2324.413208
373;1199.801756;3;4;48.06427443;11.62641911;2314.144398
374;459.8907881;3;4;48.06324621;11.62654001;2285.615984
375;366.3646225;0;4;48.06411854;11.62558162;2249.588513
376;348.17963;3;4;48.06324747;11.62614147;2257.347931
377;237.3532805;3;4;48.06342503;11.62721028;2339.248806
378;349.6658304;3;4;48.06298607;11.62620282;2253.028192
379;290.7569357;3;3;48.06435475;11.62898896;2497.583303
380;386.870992;3;4;48.06391193;11.62553744;2238.57648
381;577.2387177;3;4;48.06491794;11.62944205;2550.323632
382;242.1741042;3;4;48.06309806;11.62745425;2345.921583
383;557.0958339;3;4;48.06516157;11.62723361;2406.357019
384;296.7708614;3;2;48.06446325;11.6287268;2483.085161
385;859.4910298;3;4;48.06359381;11.62631708;2281.791091
386;59.75079404;1;4;48.0651279;11.630257;2615.390618
387;240.8479782;3;4;48.06312526;11.62718547;2327.607051
388;232.9533958;3;3;48.06085306;11.62876673;2383.2187
389;235.2677775;3;4;48.06497701;11.62587149;2304.609614
390;501.265005;3;4;48.06066618;11.62914303;2407.281485
391;417.3604219;3;4;48.06524042;11.62584984;2314.475343
392;429.4449043;3;3;48.06113397;11.62920299;2420.88443
393;117.9850536;3;3;48.06369821;11.6293556;2500.929184
394;594.1599383;3;3;48.06130568;11.62879596;2394.778884
395;253.9707881;3;4;48.06084456;11.62932761;2424.215101
396;234.5734695;3;3;48.06177263;11.62438323;2085.764093
397;229.7854224;3;2;48.06179305;11.62407473;2064.092566
398;243.0386465;3;3;48.06181148;11.62376188;2042.082591
399;227.5078462;3;2;48.06213241;11.62491588;2134.443567
400;231.5608953;3;3;48.06234393;11.62494986;2143.217711
401;250.7082498;3;3;48.06191766;11.62488171;2125.791342
402;350.3473963;3;4;48.07734463;11.60872611;2411.548641
403;261.0300351;3;4;48.07280533;11.60095093;1772.465139
404;183.9232429;3;4;48.07149054;11.60346007;1669.598954
405;54.34778605;3;4;48.07252465;11.60058995;1737.63252
406;81.65187315;3;4;48.07150949;11.60317258;1665.86906
407;68.73292733;3;2;48.07172751;11.60389214;1703.951887
408;67.89925513;3;3;48.07166995;11.60387394;1697.432187
409;237.7187304;3;4;48.0715122;11.60389271;1681.052933
410;93.60368029;3;3;48.07192605;11.60420155;1731.810927
411;179.4015991;3;3;48.07182377;11.60395602;1715.574233
